Tanggal,PemberiLowongan,Media,Sumber Grup,Posisi,Syarat,Jumlah,Proyek/Kerja,SkillsReq,job_id
14/01/2019,181511023,LINE,Berita Gedung,Android Developer,"Persyaratan Umum :

-Pria
-Muslim
-Jujur,Pekerja keras,Amanah
- Mampu bekerja Team
-Berkomunikasi dengan Baik.
-Pas Foto terbaru 4 x 6 : 2 L
-Surat keterangan berbadan Sehat
-Surat kelakuan baik
-Bersedia Ditempatkan di JAKARTA TIMUR

# Persyaratan Khusus

- S1 System Information Universitas Terkemuka
-Usia Max 35
-Mampu bekerja dengan target
-Diutamakan yg berpengalaman minimal 1 tahun sebagai android developer
- Jenis kerjaan : Full-time
- Memahami konsep pemograman OOP
- Menguasai JavaScript, Java, SQL
- Berpengalaman menggunakan database MySQL
- Menguasai PHP, CSS, HTML 5 adalah poin plus
- Menguasai grafis design adalah poin plus
",-,Kerja,"[""JavaScript"", ""Java (programming language)"", ""SQL"", ""MySQL"", ""PHP"", ""CSS"", ""HTML""]",1
01/02/2019,181511003,LINE,Berita Gedung,Marketing Online Manager,"1. Muslim/Muslimah
2. Tidak merokok
3. Usia maksimal 35 tahun
4. Pendidikan terakhir minimal D3 untuk posisi No.1,SMK untuk posisi no 2 & 3
5. Pengalaman min. 1 tahun dibidangnya
6. Fresh Graduate welcome",1,Kerja,[],2
01/02/2019,181511003,LINE,Berita Gedung,"Android Developer
","1. Muslim/Muslimah
2. Tidak merokok
3. Usia maksimal 35 tahun
4. Pendidikan terakhir minimal D3 untuk posisi No.1,SMK untuk posisi no 2 & 3
5. Pengalaman min. 1 tahun dibidangnya
6. Fresh Graduate welcome",1,Kerja,"[""Android software development""]",3
01/02/2019,181511003,LINE,Berita Gedung,Ios Developer,"1. Muslim/Muslimah
2. Tidak merokok
3. Usia maksimal 35 tahun
4. Pendidikan terakhir minimal D3 untuk posisi No.1,SMK untuk posisi no 2 & 3
5. Pengalaman min. 1 tahun dibidangnya
6. Fresh Graduate welcome",1,Kerja,"[""IOS development software""]",4
10/02/2019,181511018,LINE,Berita Gedung,Web developer,Yang bisa laravel,-,Proyek,"[""Web development"",""Laravel""]",5
20/02/2019,181511029,LINE,Berita Gedung,Web developer,2 orang di web laravel,2,Proyek,"[""Web development"",""Laravel""]",6
20/02/2019,181511029,LINE,Berita Gedung,Android developer,2 orang di mobile android,2,Proyek,"[""Android software development""]",7
27/02/2019,181511028,LINE,Berita Gedung,Junior Full Stack Engineer,-,-,Kerja,[],8
03/03/2019,181511029,LINE,Berita Gedung,-,Membuat sistem informasi akuntansi,2,Proyek,[],9
28/03/2019,181511029,LINE,Berita Gedung,IOT Development Team,"Memahami basic programming, basic electronics, basic networking, dan database",3,Proyek,"[""IOS development software""]",10
30/03/2019,181511028,LINE,Berita Gedung,-,Membuat aplikasi sistem administrasi,-,Proyek,[],11
20/04/2019,181511029,LINE,Berita Gedung,-,Berminat belajar 3D modeling dan unity,4,Proyek,"[""Unity (game engine)""]",12
11/05/2019,181511007,LINE,Berita Gedung,-,Website sederhana dari jurusan administrasi niaga,-,Proyek,"[""Web development""]",13
19/05/2019,181511027,LINE,Berita Gedung,-,Web simpel menggunakan bahasa apa aja,-,Proyek,"[""Web development""]",14
21/06/2019,181511024,LINE,Berita Gedung,Programmer,"Persyaratan:
- Pria Maks. 25 thn
- Freshgraduate / Berpengalaman min. 1 Tahun
- Pendidikan  S1 
- Jurusan informatika
- Jujur, teliti, tekun dan mampu bekerjasama
- Mau untuk terus berkembang dan memiliki logika yang baik
- Memahami dan mampu mengoperasikan delphi, SQL Server, dan MySQL
- Memahami dan mampu membuat serta memantau website
- Memahami PHP Framework, jQuery, Java, dan html5 menjadi nilai +
- Memahami jaringan menjadi nilai +",-,Kerja,"[""Web development"", ""MySQL"", ""PHP"", ""JQuery"", ""Java (programming language)"", ""HTML""]",15
11/07/2019,181511013,LINE,Berita Gedung,"Front-End Developer
Back-End Developer
Android Developer",Penjelasan pada gambar namun gambarnya sudah tidak bisa dibuka,-,Kerja,[],16
15/07/2019,181511036,LINE,Berita Gedung,Java Developer,Penjelasan pada gambar namun gambarnya sudah tidak bisa dibuka,-,Kerja,[],17
16/07/2019,181511013,LINE,Berita Gedung,Project Manager,Penjelasan pada gambar namun gambarnya sudah tidak bisa dibuka,-,Kerja,[],18
05/08/2019,181511006,LINE,Berita Gedung,Programmer,Skill database (query oracle),-,Kerja,"[""Oracle Database""]",19
13/08/2019,181511024,LINE,Berita Gedung,Web developer,"Crud sama search, disuahakan bukan mahasiswa yang lagi KP/PKL",-,Proyek,"[""Web development""]",20
14/08/2019,181511024,LINE,Berita Gedung,-,"Edit video, kalau bisa ada produk video hasil editannta",-,Proyek,[],21
23/08/2019,181511028,LINE,Berita Gedung,"Software Developer, Software Architect, System Analist",Penjelasan pada gambar namun gambarnya sudah tidak bisa dibuka,-,Kerja,[],22
10/09/2019,181511004,LINE,Berita Gedung,-,-,-,Proyek,[],23
